,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539644,539644,381115,,,3.25,5.67,,,4.4,4.0,6.0,6.6,7.75,2.0
539645,539645,381116,,,7.75,7.92,,,6.4,6.75,7.75,8.6,8.25,2.0
539646,539646,381117,,,8.25,6.17,,,6.2,6.5,5.25,7.8,5.0,2.0
539648,539648,381119,,,8.0,6.75,,,5.0,7.25,6.25,8.6,6.0,2.0
539653,539653,381124,,,8.0,7.08,,,6.6,7.5,6.0,8.6,7.25,2.0
539654,539654,381125,,,7.0,6.92,,,8.0,7.5,6.25,8.4,7.5,2.0
539656,539656,381127,,,8.0,6.5,,,8.6,4.25,7.0,8.8,4.5,2.0
539657,539657,381128,,,6.5,5.83,,,7.2,6.25,5.0,7.4,6.0,2.0
539659,539659,381130,,,7.75,5.5,,,7.4,8.25,4.25,7.8,4.5,2.0
539661,539661,381132,,,6.25,4.67,,,6.4,7.0,4.0,8.4,3.75,2.0
539662,539662,381133,,,6.0,6.83,,,6.6,5.75,6.25,8.8,8.25,2.0
539663,539663,381134,,,5.25,5.58,,,9.0,7.5,4.75,8.0,6.75,2.0
539665,539665,381136,,,4.75,6.0,,,7.0,6.25,6.0,7.2,7.25,2.0
539667,539667,381138,,,4.75,5.0,,,5.4,6.25,4.75,6.6,5.5,2.0
539668,539668,381139,,,8.5,7.92,,,8.2,7.5,7.0,9.6,8.25,2.0
539670,539670,381141,,,7.25,6.0,,,9.6,7.25,4.75,8.2,6.0,2.0
539671,539671,381142,,,5.0,5.42,,,6.4,6.75,4.5,6.6,6.75,2.0
539673,539673,381144,,,7.0,6.08,,,4.4,6.16,5.25,8.0,6.0,2.0
539674,539674,381145,,,5.5,5.75,,,6.8,7.0,4.5,7.4,7.25,2.0
539675,539675,381146,,,5.75,5.75,,,5.4,6.25,5.75,7.4,5.75,2.0
539676,539676,381147,,,7.25,7.17,,,5.6,7.75,5.25,8.2,9.0,2.0
539678,539678,381149,,,6.5,5.58,,,4.8,7.0,4.75,7.2,5.5,2.0
539680,539680,381151,,,8.0,6.92,,,6.2,7.0,5.5,7.8,7.25,2.0
539682,539682,381153,,,5.25,6.75,,,8.4,6.0,6.25,8.8,8.75,2.0
539683,539683,381154,,,6.5,6.08,,,5.0,6.0,6.5,7.0,5.25,2.0
539684,539684,381155,,,6.25,5.67,,,3.8,5.75,4.75,8.6,6.0,2.0
539685,539685,381156,,,5.5,5.75,,,4.8,7.5,5.0,8.0,6.75,2.0
539686,539686,381157,,,6.0,5.17,,,9.0,7.0,4.75,8.0,4.75,2.0
539687,539687,381158,,,5.0,5.25,,,7.6,7.5,4.5,8.2,6.25,2.0
539692,539692,381163,,,6.0,5.5,,,4.6,7.5,4.75,8.4,5.75,2.0
