No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539610,2000073,,,6.75,7.33,,,6.4,8.5,7.75,9.0,7.5,2.0
539611,2000074,,,8.25,6.92,,,7.2,8.0,6.75,8.6,5.75,2.0
539612,2000075,,,7.75,6.83,,,6.4,8.0,5.5,7.6,7.25,2.0
539613,2000076,7.5,9.0,,,7.92,7.25,8.2,8.5,,8.2,,2.0
539614,2000077,,,6.75,6.33,,,5.8,7.5,5.5,7.2,6.75,2.0
539615,2000078,8.25,8.5,,,7.5,5.75,7.0,7.0,,7.8,,2.0
539616,2000079,6.5,8.75,,,7.17,6.25,7.0,7.5,,7.4,,2.0
539617,2000080,6.0,7.5,,,5.75,3.75,5.8,5.5,,5.2,,2.0
539618,2000081,,,5.5,6.5,,,8.4,5.5,7.25,8.6,6.75,2.0
539619,2000082,,,6.0,5.75,,,7.2,6.5,4.25,8.4,7.0,2.0
539620,2000083,,,5.75,5.33,,,7.2,7.0,5.5,7.6,4.75,2.0
539621,2000084,,,5.75,6.58,,,9.2,5.5,6.5,7.6,7.5,2.0
539622,2000085,7.25,9.0,,,7.17,5.25,7.2,6.5,,7.8,,2.0
539623,2000086,,,5.0,5.08,,,6.0,7.0,6.25,6.2,4.0,2.0
539624,2000087,8.0,9.0,,,7.75,6.25,7.8,7.0,,6.6,,2.0
539625,2000088,,,5.25,5.92,,,5.8,6.5,5.25,8.0,7.25,2.0
539626,2000089,,,8.5,7.92,,,6.8,6.25,6.25,9.0,9.0,2.0
539627,2000090,,,6.75,5.75,,,7.2,6.5,5.5,7.6,5.0,2.0
539628,2000091,4.25,4.75,,,3.83,2.5,5.8,5.75,,4.8,,2.0
539629,2000092,,,3.25,3.92,,,7.0,5.0,2.5,6.8,6.0,2.0
539630,2000093,,,7.0,6.67,,,9.2,5.25,5.5,9.2,7.5,2.0
539631,2000094,,,5.75,5.33,,,5.0,6.0,5.5,7.0,4.75,2.0
539632,2000095,,,8.0,6.75,,,6.0,7.0,4.25,8.0,8.0,2.0
539633,2000096,,,5.75,6.5,,,5.4,7.0,6.25,8.8,7.5,2.0
539634,2000097,,,5.25,5.83,,,8.4,6.5,4.75,8.8,7.5,2.0
539635,2000098,6.25,8.0,,,6.58,5.5,6.4,5.75,,5.6,,2.0
539636,2000099,,,6.75,7.0,,,9.0,6.5,6.5,9.4,7.75,2.0
539637,2000100,7.25,8.25,,,7.42,6.75,8.2,7.5,,8.2,,2.0
539638,2000101,,,6.5,5.5,,,7.0,6.75,4.25,7.8,5.75,2.0
539639,2000102,,,6.25,6.92,,,7.0,6.25,6.75,8.4,7.75,2.0
539640,2000103,6.75,8.0,,,7.42,7.5,7.6,6.5,,8.2,,2.0
539641,2000104,,,7.75,6.83,,,6.8,6.0,6.0,8.0,6.75,2.0
539642,2000105,,,7.5,6.17,,,7.2,5.5,7.25,8.2,3.75,2.0
539643,2000106,,,7.0,6.33,,,7.8,6.0,4.0,8.2,8.0,2.0
539644,2000107,,,3.25,5.67,,,4.4,4.0,6.0,6.6,7.75,2.0
539645,2000108,,,7.75,7.92,,,6.4,6.75,7.75,8.6,8.25,2.0
539646,2000109,,,8.25,6.17,,,6.2,6.5,5.25,7.8,5.0,2.0
539647,2000110,8.0,9.5,,,7.67,5.5,8.0,7.25,,7.8,,2.0
539648,2000111,,,8.0,6.75,,,5.0,7.25,6.25,8.6,6.0,2.0
539649,2000112,8.25,8.75,,,7.83,6.5,7.6,6.75,,7.6,,2.0
539650,2000113,8.0,8.0,,,7.25,5.75,8.6,7.5,,6.8,,2.0
539651,2000114,6.75,8.5,,,6.92,5.5,6.6,7.0,,6.0,,2.0
539652,2000115,8.5,9.25,,,8.25,7.0,8.2,7.25,,8.2,,2.0
539653,2000116,,,8.0,7.08,,,6.6,7.5,6.0,8.6,7.25,2.0
539654,2000117,,,7.0,6.92,,,8.0,7.5,6.25,8.4,7.5,2.0
539655,2000118,7.5,7.5,,,7.67,8.0,5.4,7.0,,7.2,,2.0
539656,2000119,,,8.0,6.5,,,8.6,4.25,7.0,8.8,4.5,2.0
539657,2000120,,,6.5,5.83,,,7.2,6.25,5.0,7.4,6.0,2.0
539658,2000121,7.75,8.25,,,7.25,5.75,6.2,8.25,,5.6,,2.0
539659,2000122,,,7.75,5.5,,,7.4,8.25,4.25,7.8,4.5,2.0
539660,2000123,7.25,8.0,,,6.75,5.0,9.6,6.75,,5.6,,2.0
539661,2000124,,,6.25,4.67,,,6.4,7.0,4.0,8.4,3.75,2.0
539662,2000125,,,6.0,6.83,,,6.6,5.75,6.25,8.8,8.25,2.0
539663,2000126,,,5.25,5.58,,,9.0,7.5,4.75,8.0,6.75,2.0
539664,2000127,7.75,9.0,,,7.67,6.25,5.6,7.25,,7.2,,2.0
539665,2000128,,,4.75,6.0,,,7.0,6.25,6.0,7.2,7.25,2.0
539666,2000129,6.5,8.75,,,7.08,6.0,4.0,6.5,,7.6,,2.0
539667,2000130,,,4.75,5.0,,,5.4,6.25,4.75,6.6,5.5,2.0
539668,2000131,,,8.5,7.92,,,8.2,7.5,7.0,9.6,8.25,2.0
539669,2000132,4.0,8.75,,,5.92,5.0,4.0,6.5,,5.0,,2.0
539670,2000133,,,7.25,6.0,,,9.6,7.25,4.75,8.2,6.0,2.0
539671,2000134,,,5.0,5.42,,,6.4,6.75,4.5,6.6,6.75,2.0
539672,2000135,6.5,7.25,,,6.67,6.25,8.2,6.75,,8.6,,2.0
539673,2000136,,,7.0,6.08,,,4.4,6.16,5.25,8.0,6.0,2.0
539674,2000137,,,5.5,5.75,,,6.8,7.0,4.5,7.4,7.25,2.0
539675,2000138,,,5.75,5.75,,,5.4,6.25,5.75,7.4,5.75,2.0
539676,2000139,,,7.25,7.17,,,5.6,7.75,5.25,8.2,9.0,2.0
539677,2000140,6.0,7.25,,,5.83,4.25,2.4,7.0,,6.0,,2.0
539678,2000141,,,6.5,5.58,,,4.8,7.0,4.75,7.2,5.5,2.0
539679,2000142,7.0,9.0,,,7.42,6.25,6.2,7.25,,6.8,,2.0
539680,2000143,,,8.0,6.92,,,6.2,7.0,5.5,7.8,7.25,2.0
539681,2000144,6.5,8.5,,,6.58,4.75,5.4,6.0,,5.6,,2.0
539682,2000145,,,5.25,6.75,,,8.4,6.0,6.25,8.8,8.75,2.0
539683,2000146,,,6.5,6.08,,,5.0,6.0,6.5,7.0,5.25,2.0
539684,2000147,,,6.25,5.67,,,3.8,5.75,4.75,8.6,6.0,2.0
539685,2000148,,,5.5,5.75,,,4.8,7.5,5.0,8.0,6.75,2.0
539686,2000149,,,6.0,5.17,,,9.0,7.0,4.75,8.0,4.75,2.0
539687,2000150,,,5.0,5.25,,,7.6,7.5,4.5,8.2,6.25,2.0
539688,2000151,6.5,7.0,,,5.42,2.75,5.4,6.75,,5.4,,2.0
539689,2000152,7.25,8.25,,,7.67,7.5,6.8,7.5,,7.4,,2.0
539690,2000153,6.75,7.25,,,6.58,5.75,9.4,7.5,,7.6,,2.0
539691,2000154,6.75,8.25,,,6.58,4.75,6.8,3.5,,6.2,,2.0
539692,2000155,,,6.0,5.5,,,4.6,7.5,4.75,8.4,5.75,2.0
539693,2000156,,,8.0,6.92,,,5.0,7.0,4.75,8.6,8.0,2.0
539694,2000157,,,8.5,7.08,,,5.0,7.5,7.0,8.2,5.75,2.0
539695,2000158,,,7.25,5.5,,,7.8,7.25,4.75,7.4,4.5,2.0
539696,2000159,,,7.75,7.17,,,7.4,7.25,5.5,9.4,8.25,2.0
539697,2000160,,,5.0,5.42,,,6.6,5.5,4.75,8.4,6.5,2.0
539698,2000161,,,5.5,5.17,,,6.4,6.75,4.75,7.0,5.25,2.0
539699,2000162,,,6.75,6.33,,,6.6,6.5,5.25,8.8,7.0,2.0
539700,2000163,,,7.25,7.33,,,9.0,6.75,5.75,8.8,9.0,2.0
539701,2000164,,,7.75,6.75,,,5.4,6.5,5.5,8.2,7.0,2.0
539702,2000165,,,5.75,4.92,,,7.8,8.25,5.25,8.8,3.75,2.0
539703,2000166,,,8.0,7.42,,,4.8,7.0,7.25,8.0,7.0,2.0
539704,2000167,,,7.25,6.58,,,5.6,6.75,5.75,8.0,6.75,2.0
539705,2000168,6.0,9.25,,,6.83,5.25,8.6,8.0,,8.4,,2.0
