No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
272937,1000076,8.5,8.25,,,7.58,6.0,6.2,8.0,,7.0,,1.0
272938,1000077,9.0,8.25,,,8.42,8.0,5.6,7.25,,6.0,,1.0
272939,1000078,7.5,9.0,,,7.33,5.5,7.4,7.5,,9.0,,1.0
272940,1000079,,,3.25,4.5,,,5.8,6.5,3.25,8.8,7.0,1.0
272941,1000080,7.0,8.5,,,6.75,4.75,7.0,7.0,,6.2,,1.0
272942,1000081,7.75,7.75,,,7.5,7.0,6.4,7.5,,8.0,,1.0
272943,1000082,8.0,8.5,,,7.67,6.5,9.8,7.5,,8.4,,1.0
272944,1000083,6.75,7.5,,,6.42,5.0,6.4,7.0,,8.0,,1.0
272945,1000084,7.0,8.0,,,6.42,4.25,5.4,6.75,,8.0,,1.0
272946,1000085,7.25,8.5,,,6.83,4.75,5.2,6.75,,6.2,,1.0
272947,1000086,6.25,7.5,,,5.83,3.75,5.4,7.25,,8.4,,1.0
272948,1000087,5.75,7.75,,,6.5,6.0,7.2,7.25,,4.8,,1.0
272949,1000088,8.75,9.75,,,9.08,8.75,8.4,8.0,,8.8,,1.0
272950,1000089,7.75,9.25,,,8.17,7.5,6.4,7.25,,6.0,,1.0
272951,1000090,7.5,8.0,,,7.17,6.0,9.0,8.0,,8.4,,1.0
272952,1000091,,,5.0,6.0,,,7.8,6.25,5.5,8.6,7.5,1.0
272953,1000092,5.5,7.25,,,5.83,4.75,,6.5,,5.8,,1.0
272954,1000093,7.0,8.5,,,6.5,4.0,6.0,7.0,,7.4,,1.0
272955,1000094,6.75,8.0,,,6.17,3.75,8.6,8.0,,9.0,,1.0
272956,1000095,6.0,7.5,,,6.08,4.75,6.8,7.5,,8.4,,1.0
272957,1000096,,,2.25,4.0,,,7.6,5.75,4.25,7.0,5.5,1.0
272958,1000097,7.0,9.0,,,6.83,4.5,8.0,7.25,,9.0,,1.0
272959,1000098,,,5.25,5.83,,,5.6,8.5,5.75,7.8,6.5,1.0
272960,1000099,,,8.25,7.83,,,6.0,5.75,6.75,8.8,8.5,1.0
272961,1000100,6.5,9.0,,,7.17,6.0,6.6,7.75,,6.2,,1.0
272962,1000101,6.25,,,,,3.25,,5.5,,3.0,,1.0
272963,1000102,6.75,8.5,,,7.08,6.0,6.6,7.75,,8.4,,1.0
272964,1000103,4.5,,,,,4.75,,3.75,,3.4,,1.0
272965,1000104,,,7.25,6.42,,,6.0,6.0,4.75,8.4,7.25,1.0
272966,1000105,,,7.0,7.17,,,9.4,6.5,6.25,8.0,8.25,1.0
272967,1000106,6.5,8.75,,,6.67,4.75,8.0,6.0,,6.8,,1.0
272968,1000107,,,6.0,6.67,,,9.4,7.25,5.5,8.6,8.5,1.0
272969,1000108,5.5,,,,,4.25,,3.0,,2.4,,1.0
272970,1000109,6.75,7.75,,,5.75,2.75,5.6,6.25,,8.0,,1.0
272971,1000110,7.25,9.0,,,7.5,6.25,9.2,8.25,,8.2,,1.0
272972,1000111,5.75,7.75,,,6.08,4.75,7.0,7.25,,7.8,,1.0
272973,1000112,6.25,8.75,,,6.17,3.5,4.4,7.0,,4.4,,1.0
272974,1000113,5.75,8.0,,,5.92,4.0,7.0,7.5,,7.4,,1.0
272975,1000114,5.5,8.0,,,5.83,4.0,3.2,6.5,,4.4,,1.0
272976,1000115,7.75,8.0,,,6.92,5.0,8.0,6.5,,8.2,,1.0
272977,1000116,,,,,,,6.2,7.5,,7.6,,1.0
272978,1000117,7.0,7.75,,,5.83,2.75,7.6,7.5,,8.8,,1.0
272979,1000118,6.25,8.25,,,6.5,5.0,8.0,8.5,,8.6,,1.0
272980,1000119,,,8.5,6.58,,,6.8,6.25,8.0,9.4,3.25,1.0
272981,1000120,7.5,9.25,,,8.08,7.5,7.8,9.0,,8.6,,1.0
272982,1000121,,,5.0,6.83,,,7.4,6.0,6.75,9.2,8.75,1.0
272983,1000122,,,4.0,5.5,,,5.2,6.25,4.5,8.6,8.0,1.0
272984,1000123,4.25,,,,,4.75,,3.75,,3.6,,1.0
272985,1000124,,,4.75,4.42,,,4.0,6.25,2.5,7.4,6.0,1.0
272986,1000125,7.75,9.0,,,8.67,9.25,5.2,8.75,,7.2,,1.0
272987,1000126,8.75,8.25,,,8.75,9.25,8.6,7.25,,7.2,,1.0
272988,1000127,,,,,,4.25,,4.25,,4.4,,1.0
272989,1000128,6.5,7.75,,,6.17,4.25,7.4,7.75,,8.8,,1.0
272990,1000129,7.25,7.5,,,7.0,6.25,8.2,6.75,,4.0,,1.0
272991,1000130,7.75,9.25,,,7.67,6.0,6.8,7.25,,8.6,,1.0
272992,1000131,6.75,8.5,,,7.25,6.5,8.0,7.5,,8.0,,1.0
272993,1000132,,,8.5,6.0,,,4.0,6.25,4.0,9.0,5.5,1.0
272994,1000133,,,,,,,8.6,7.5,,8.0,,1.0
272995,1000134,,,5.5,5.83,,,8.8,6.5,5.25,7.4,6.75,1.0
272996,1000135,,,,,,,8.0,7.75,,8.2,,1.0
272997,1000136,,,,,,,7.2,7.25,,7.2,,1.0
272998,1000137,,,8.25,5.08,,,5.2,6.0,3.0,7.4,4.0,1.0
272999,1000138,,,,,,4.75,,4.75,,3.2,,1.0
273000,1000139,8.5,9.25,,,8.83,8.75,9.2,9.0,,8.0,,1.0
273001,1000140,,,8.0,7.25,,,6.6,5.0,6.0,9.0,7.75,1.0
273002,1000141,7.5,8.0,,,6.92,5.25,3.0,7.5,,3.6,,1.0
273003,1000142,7.0,9.5,,,7.33,5.5,4.6,6.75,,7.0,,1.0
273004,1000143,7.0,9.0,,,8.08,8.25,7.6,7.75,,9.0,,1.0
273005,1000144,,,4.5,5.0,,,7.8,5.75,4.5,8.4,6.0,1.0
273006,1000145,6.5,8.25,,,6.17,3.75,3.2,7.0,,4.2,,1.0
273007,1000146,7.75,9.25,,,7.92,6.75,8.0,6.5,,8.0,,1.0
273008,1000147,7.5,9.5,,,8.75,9.25,3.4,8.75,,5.0,,1.0
273009,1000148,,,5.25,5.25,,,3.4,5.25,4.25,7.2,6.25,1.0
273010,1000149,,,9.25,7.0,,,7.6,6.25,5.75,8.8,6.0,1.0
273011,1000150,7.25,7.5,,,7.17,6.75,6.8,8.0,,9.0,,1.0
273012,1000151,6.75,8.25,,,7.08,6.25,8.4,8.0,,8.4,,1.0
273013,1000152,7.5,9.0,,,6.75,3.75,2.0,7.0,,7.0,,1.0
273014,1000153,,,6.25,6.42,,,8.6,6.25,5.0,9.0,8.0,1.0
273015,1000154,,,,,,,7.0,7.0,,7.6,,1.0
273016,1000155,7.25,7.5,,,7.0,6.25,6.2,7.5,,8.8,,1.0
273017,1000156,7.0,7.75,,,6.5,4.75,8.6,8.75,,9.4,,1.0
273018,1000157,8.0,9.5,,,8.42,7.75,9.0,8.5,,8.4,,1.0
273019,1000158,,,9.5,6.92,,,6.6,5.75,4.5,8.8,6.75,1.0
273020,1000159,,,8.25,7.17,,,7.6,6.25,5.0,8.6,8.25,1.0
273021,1000160,7.0,,,,,6.0,5.8,4.5,,3.6,,1.0
273022,1000161,,,7.25,7.25,,,8.8,6.25,6.25,9.0,8.25,1.0
273023,1000162,7.75,7.5,,,8.08,9.0,,7.25,,7.8,,1.0
273024,1000163,6.75,8.75,,,7.33,6.5,5.4,7.5,,7.8,,1.0
273025,1000164,8.0,8.75,,,8.67,9.25,7.8,8.75,,8.4,,1.0
273026,1000165,6.25,10.0,,,7.67,6.75,8.2,8.75,,8.2,,1.0
273027,1000166,8.25,8.0,,,6.83,4.25,5.8,8.25,,8.4,,1.0
273028,1000167,8.5,9.75,,,8.5,7.25,8.6,8.0,,9.0,,1.0
273029,1000168,6.5,8.0,,,6.33,4.5,2.8,7.0,,7.0,,1.0
273030,1000169,,,6.0,6.67,,,5.4,7.25,7.0,9.0,7.0,1.0
273031,1000170,,,7.75,7.42,,,6.4,6.75,7.25,8.6,7.25,1.0
273032,1000171,7.5,8.25,,,7.0,5.25,4.4,5.25,,6.6,,1.0
273033,1000172,,,6.5,6.83,,,9.0,7.75,6.0,9.4,8.0,1.0
273034,1000173,7.75,8.0,,,7.42,6.5,7.4,8.0,,9.4,,1.0
273035,1000174,5.75,8.5,,,6.5,5.25,3.4,6.5,,6.6,,1.0
273036,1000175,6.0,9.0,,,6.67,5.0,3.0,7.5,,4.6,,1.0
273037,1000176,7.5,8.25,,,7.0,5.25,7.6,7.25,,8.2,,1.0
273038,1000177,6.25,7.25,,,6.0,4.5,8.6,8.0,,9.4,,1.0
273039,1000178,8.0,9.0,,,7.0,4.0,7.0,6.75,,8.8,,1.0
273040,1000179,7.25,8.75,,,7.17,5.5,8.4,8.0,,8.0,,1.0
273041,1000180,8.75,7.75,,,8.5,9.0,4.8,8.75,,6.4,,1.0
273042,1000181,7.5,9.75,,,8.25,7.5,8.2,8.25,,9.0,,1.0
273043,1000182,6.5,8.25,,,7.17,6.75,6.0,8.0,,8.8,,1.0
273044,1000183,6.75,9.0,,,7.25,6.0,4.8,5.0,,7.2,,1.0
273045,1000184,7.5,8.25,,,8.25,9.0,7.4,7.75,,8.4,,1.0
273046,1000185,8.25,9.25,,,8.08,6.75,7.4,7.0,,8.8,,1.0
273047,1000186,,,6.5,6.0,,,6.2,7.75,4.5,7.8,7.0,1.0
273048,1000187,4.75,,,,,5.25,,4.75,,5.0,,1.0
273049,1000188,7.75,8.25,,,7.25,5.75,3.6,7.0,,4.2,,1.0
273050,1000189,7.0,9.0,,,7.58,6.75,8.0,7.5,,8.2,,1.0
273051,1000190,7.25,8.25,,,7.0,5.5,6.2,7.75,,7.2,,1.0
273052,1000191,8.25,8.5,,,8.08,7.5,8.4,7.75,,8.6,,1.0
273053,1000192,7.75,8.25,,,7.0,5.0,7.6,6.25,,8.0,,1.0
273054,1000193,,,2.75,5.08,,,7.8,5.75,4.25,9.0,8.25,1.0
273055,1000194,6.0,9.25,,,6.92,5.5,4.8,7.0,,5.6,,1.0
273056,1000195,8.25,7.75,,,6.67,4.0,8.4,8.0,,7.8,,1.0
273057,1000196,,,7.5,7.42,,,9.4,5.0,6.5,9.0,8.25,1.0
273058,1000197,7.5,7.75,,,7.17,6.25,7.8,8.5,,7.4,,1.0
273059,1000198,6.75,8.25,,,6.75,5.25,7.6,8.25,,8.4,,1.0
273060,1000199,7.75,8.75,,,8.17,8.0,7.0,8.25,,4.2,,1.0
273061,1000200,7.5,8.5,,,7.17,5.5,7.6,8.0,,8.0,,1.0
273062,1000201,8.25,9.75,,,9.08,9.25,5.4,7.5,,6.2,,1.0
273063,1000202,7.75,8.75,,,7.92,7.25,5.2,7.0,,8.2,,1.0
273064,1000203,7.0,8.5,,,6.83,5.0,7.4,7.25,,9.0,,1.0
273065,1000204,,,7.75,5.0,,,7.6,5.75,3.75,8.0,3.5,1.0
273066,1000205,8.25,9.25,,,8.25,7.25,9.0,8.0,,8.6,,1.0
273067,1000206,,,4.75,5.5,,,6.4,6.5,5.25,8.4,6.5,1.0
273068,1000207,,,3.0,4.83,,,7.4,5.0,5.25,9.0,6.25,1.0
273069,1000208,6.5,8.75,,,6.25,3.5,6.8,7.0,,7.2,,1.0
273070,1000209,6.75,7.75,,,5.83,3.0,6.6,7.5,,8.8,,1.0
273071,1000210,,,,,,,8.6,7.0,,8.8,,1.0
