,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
572689,572689,572690,,,7.0,6.08,,,4.0,7.25,4.75,7.8,6.5,2.0
572690,572690,572691,,,6.5,6.17,,,3.6,7.0,5.5,8.2,6.5,2.0
572691,572691,572692,,,7.25,6.83,,,5.4,6.0,6.5,7.8,6.75,2.0
572696,572696,572697,,,8.0,7.33,,,5.8,7.5,6.75,8.0,7.25,2.0
572702,572702,572703,,,3.25,5.0,,,4.2,7.5,5.75,6.2,6.0,2.0
572704,572704,572705,,,5.75,5.42,,,3.0,7.25,4.0,6.0,6.5,2.0
572705,572705,572706,,,8.0,7.67,,,4.0,7.0,7.25,8.2,7.75,2.0
572706,572706,572707,,,8.25,6.5,,,4.4,7.5,5.25,7.2,6.0,2.0
572707,572707,572708,,,8.25,7.5,,,5.2,7.25,7.0,7.6,7.25,2.0
572708,572708,572709,,,8.0,7.5,,,5.4,7.25,7.0,8.0,7.5,2.0
572710,572710,572711,,,7.25,7.25,,,6.0,7.25,6.25,9.0,8.25,2.0
572712,572712,572713,,,8.25,6.83,,,4.4,7.0,5.75,7.2,6.5,2.0
572714,572714,572715,,,6.5,6.58,,,4.6,8.0,6.0,7.4,7.25,2.0
572718,572718,572719,,,8.0,7.25,,,5.8,7.5,6.25,7.8,7.5,2.0
572720,572720,572721,,,5.0,5.58,,,3.6,6.0,6.0,7.0,5.75,2.0
572721,572721,572722,,,7.5,7.5,,,5.0,7.5,7.75,8.0,7.25,2.0
572722,572722,572723,,,8.0,7.25,,,5.2,8.0,7.0,7.6,6.75,2.0
572724,572724,572725,,,7.25,7.17,,,6.0,8.0,7.0,8.2,7.25,2.0
572725,572725,572726,,,8.0,7.67,,,6.2,7.25,6.5,8.8,8.5,2.0
572727,572727,572728,,,7.75,5.67,,,3.2,6.75,4.0,7.8,5.25,2.0
572730,572730,572731,,,7.75,7.0,,,5.4,7.5,6.25,8.4,7.0,2.0
572732,572732,572733,,,6.75,6.5,,,7.2,6.5,4.5,8.0,8.25,2.0
572733,572733,572734,,,7.75,7.0,,,4.6,6.25,6.75,8.6,6.5,2.0
572734,572734,572735,,,7.5,7.0,,,5.0,6.75,6.0,7.4,7.5,2.0
572735,572735,572736,,,5.75,4.75,,,4.2,7.0,4.75,5.8,3.75,2.0
572742,572742,572743,,,5.5,6.25,,,3.8,5.75,5.75,6.4,7.5,2.0
572743,572743,572744,,,6.25,6.75,,,5.0,6.5,7.25,6.8,6.75,2.0
572748,572748,572749,,,7.0,6.17,,,5.8,7.25,4.75,8.0,6.75,2.0
572750,572750,572751,,,7.25,7.0,,,3.6,6.5,6.25,8.2,7.5,2.0
572753,572753,572754,,,6.5,5.83,,,5.2,6.5,5.25,7.0,5.75,2.0
572754,572754,572755,,,7.75,5.83,,,4.4,6.5,4.75,7.8,5.0,2.0
572755,572755,572756,,,6.0,5.42,,,4.4,7.25,5.5,7.6,4.75,2.0
572756,572756,572757,,,7.25,7.0,,,4.6,7.25,5.75,7.8,8.0,2.0
572757,572757,572758,,,6.0,5.33,,,4.8,6.75,5.5,7.6,4.5,2.0
572758,572758,572759,,,8.0,7.17,,,8.6,7.5,6.75,9.0,6.75,2.0
572759,572759,572760,,,7.75,7.25,,,5.6,7.5,7.25,8.2,6.75,2.0
572761,572761,572762,,,7.25,7.25,,,8.6,8.5,5.75,8.8,8.75,2.0
572762,572762,572763,,,7.75,7.58,,,5.4,6.25,7.25,6.8,7.75,2.0
572764,572764,572765,,,8.25,7.58,,,7.2,7.5,6.75,8.4,7.75,2.0
572765,572765,572766,,,5.0,5.83,,,3.6,7.75,6.0,7.2,6.5,2.0
572769,572769,572770,,,6.0,6.33,,,6.2,6.5,5.75,7.6,7.25,2.0
572771,572771,572772,,,9.0,8.08,,,6.4,8.25,7.75,9.2,7.5,2.0
572772,572772,572773,,,8.75,7.75,,,5.8,7.25,6.75,8.8,7.75,2.0
572773,572773,572774,,,8.5,7.67,,,5.4,7.25,6.5,8.0,8.0,2.0
572774,572774,572775,,,6.25,6.75,,,6.0,7.75,6.5,8.4,7.5,2.0
572775,572775,572776,,,8.0,6.92,,,6.6,6.75,6.0,8.8,6.75,2.0
572776,572776,572777,,,6.25,6.33,,,4.4,6.0,5.5,7.2,7.25,2.0
572777,572777,572778,,,7.75,7.17,,,4.4,7.5,5.75,7.4,8.0,2.0
572779,572779,572780,,,7.5,6.75,,,3.8,7.5,6.5,8.0,6.25,2.0
572784,572784,572785,,,6.5,6.17,,,4.2,7.25,5.25,8.0,6.75,2.0
572785,572785,572786,,,5.0,5.58,,,3.4,6.75,5.75,7.8,6.0,2.0
572786,572786,572787,,,7.0,6.25,,,6.0,6.75,5.25,6.8,6.5,2.0
572789,572789,572790,,,3.0,3.75,,,4.0,6.5,5.0,5.8,3.25,2.0
572792,572792,572793,,,4.75,5.5,,,4.0,7.0,5.0,6.2,6.75,2.0
572796,572796,572797,,,6.0,5.08,,,3.0,6.5,4.0,4.6,5.25,2.0
572800,572800,572801,,,6.25,5.75,,,4.0,6.75,5.25,7.4,5.75,2.0
572801,572801,572802,,,6.75,6.17,,,5.4,7.25,7.5,7.4,4.25,2.0
572802,572802,572803,,,7.75,5.67,,,5.8,7.25,4.25,8.4,5.0,2.0
572804,572804,572805,,,6.75,6.33,,,5.0,7.5,6.0,7.6,6.25,2.0
572805,572805,572806,,,8.25,7.75,,,6.0,7.25,7.5,8.4,7.5,2.0
572809,572809,572810,,,7.75,6.92,,,5.8,7.75,6.0,7.4,7.0,2.0
572814,572814,572815,,,6.25,6.75,,,4.0,6.25,6.5,7.8,7.5,2.0
572823,572823,572824,,,4.5,5.42,,,8.8,6.5,4.75,8.8,7.0,2.0
572828,572828,572829,,,8.25,6.83,,,6.4,6.25,5.0,7.2,7.25,2.0
572830,572830,572831,,,7.0,7.08,,,8.8,8.25,6.5,9.0,7.75,2.0
572832,572832,572833,,,4.0,6.08,,,4.4,6.75,7.5,8.0,6.75,2.0
572835,572835,572836,,,5.75,5.92,,,5.6,6.75,5.0,7.8,7.0,2.0
572845,572845,572846,,,6.25,6.25,,,6.6,7.5,6.5,7.6,6.0,2.0
572846,572846,572847,,,7.5,7.0,,,8.0,7.5,5.75,8.4,7.75,2.0
572849,572849,572850,,,3.75,4.33,,,3.8,5.75,5.5,6.0,3.75,2.0
572850,572850,572851,,,5.25,6.33,,,6.0,6.25,5.75,9.2,8.0,2.0
572851,572851,572852,,,4.75,4.92,,,3.4,6.75,4.75,7.8,5.25,2.0
572853,572853,572854,,,4.5,4.83,,,4.4,6.75,4.5,6.8,5.5,2.0
572854,572854,572855,,,7.75,7.33,,,5.6,7.5,6.5,8.6,7.75,2.0
572855,572855,572856,,,5.75,6.25,,,4.6,7.5,5.75,8.6,7.25,2.0
572858,572858,572859,,,8.25,7.67,,,6.8,8.75,7.0,8.8,7.75,2.0
572861,572861,572862,,,8.75,7.33,,,5.8,7.5,8.25,9.0,5.0,2.0
572862,572862,572863,,,7.0,5.83,,,4.6,7.75,5.5,8.0,5.0,2.0
572865,572865,572866,,,7.5,6.58,,,7.2,6.0,5.5,9.0,6.75,2.0
572876,572876,572877,,,5.5,5.08,,,4.0,7.5,5.0,6.2,4.75,2.0
572879,572879,572880,,,7.5,6.67,,,4.4,7.75,6.0,8.2,6.5,2.0
572881,572881,572882,,,3.25,4.67,,,4.2,6.75,4.25,6.8,6.5,2.0
572882,572882,572883,,,6.25,6.75,,,4.8,7.25,6.25,8.6,7.75,2.0
572883,572883,572884,,,3.5,5.17,,,4.4,7.0,4.0,8.8,8.0,2.0
572885,572885,572886,,,9.75,7.67,,,9.0,7.0,7.25,9.2,6.0,2.0
572892,572892,572893,,,6.5,5.67,,,3.8,6.25,4.75,7.8,5.75,2.0
572895,572895,572896,,,6.75,7.42,,,7.8,6.75,7.0,8.4,8.5,2.0
572896,572896,572897,,,6.25,6.0,,,4.4,5.25,5.5,6.6,6.25,2.0
572899,572899,572900,,,7.75,6.42,,,7.8,7.58,6.0,8.6,5.5,2.0
572902,572902,572903,,,7.0,6.75,,,6.0,8.0,6.25,7.0,7.0,2.0
572903,572903,572904,,,7.25,7.25,,,6.4,5.0,6.25,9.2,8.25,2.0
572904,572904,572905,,,8.75,7.25,,,7.6,7.25,5.25,8.6,7.75,2.0
572907,572907,572908,,,5.25,5.33,,,7.8,7.75,5.5,7.8,5.25,2.0
572908,572908,572909,,,4.75,5.67,,,5.2,5.75,6.75,6.8,5.5,2.0
572909,572909,572910,,,7.25,6.0,,,4.0,5.0,4.75,7.8,6.0,2.0
572912,572912,572913,,,8.75,7.42,,,5.8,7.75,8.75,8.8,4.75,2.0
572913,572913,572914,,,2.75,3.08,,,4.4,7.0,2.75,7.6,3.75,2.0
572918,572918,572919,,,5.75,5.67,,,4.0,7.0,5.25,7.6,6.0,2.0
572920,572920,572921,,,7.5,6.67,,,6.0,7.75,6.25,7.6,6.25,2.0
572924,572924,572925,,,4.25,5.0,,,4.0,6.5,4.25,8.8,6.5,2.0
572926,572926,572927,,,5.25,5.83,,,4.8,6.0,6.25,7.6,6.0,2.0
572927,572927,572928,,,7.25,5.92,,,4.4,6.0,5.25,7.2,5.25,2.0
572928,572928,572929,,,7.25,7.08,,,5.6,6.0,6.75,8.8,7.25,2.0
572933,572933,572934,,,7.0,6.92,,,9.2,7.5,5.75,8.0,8.0,2.0
572935,572935,572936,,,6.5,6.75,,,9.6,7.5,5.5,8.4,8.25,2.0
572941,572941,572942,,,6.0,5.58,,,4.6,6.75,5.0,8.4,5.75,2.0
572944,572944,572945,,,8.75,7.42,,,5.8,7.5,8.75,9.2,4.75,2.0
572948,572948,572949,,,5.5,5.75,,,3.4,7.0,6.75,5.2,5.0,2.0
572952,572952,572953,,,7.75,7.17,,,5.0,6.25,6.5,7.6,7.25,2.0
572955,572955,572956,,,6.25,6.08,,,4.6,6.5,4.5,8.0,7.5,2.0
572956,572956,572957,,,7.75,7.67,,,8.6,7.0,7.0,9.8,8.25,2.0
572960,572960,572961,,,7.5,5.83,,,3.4,7.75,4.25,8.0,5.75,2.0
572961,572961,572962,,,7.75,7.08,,,6.8,8.25,6.75,8.2,6.75,2.0
572967,572967,572968,,,3.25,3.83,,,4.8,6.5,4.75,6.8,3.5,2.0
572974,572974,572975,,,7.0,5.67,,,4.8,8.0,5.5,7.4,4.5,2.0
