Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2013679,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.61 ,K
2013680,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.84 ,TB
2013681,>=7,>=7,"[6,7)","[1,6)","[1,6)",>=7, 6.58 ,TB
2013682,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.84 ,TB
2013683,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.20 ,TB
2013684,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.41 ,TB
2013685,>=7,"[6,7)","[1,6)","[6,7)",>=7,>=7, 6.68 ,TB
2013686,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.84 ,TB
2013687,>=7,>=7,>=7,>=7,>=7,>=7, 8.00 ,G
2013688,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.27 ,TB
2013689,"[6,7)",>=7,>=7,"[1,6)","[6,7)",>=7, 6.84 ,TB
2013690,"[6,7)",>=7,>=7,"[6,7)",>=7,>=7, 7.32 ,TB
2013691,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.35 ,K
2013692,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 7.01 ,TB
2013693,"[6,7)",>=7,>=7,"[1,6)","[6,7)",>=7, 7.05 ,TB
2013694,"[6,7)",>=7,>=7,"[1,6)","[6,7)",>=7, 7.08 ,TB
2013695,>=7,"[6,7)",>=7,"[6,7)",>=7,>=7, 7.44 ,K
2013696,>=7,"[6,7)","[1,6)",>=7,"[6,7)",>=7, 6.79 ,TB
2013697,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.57 ,K
2013698,"[6,7)",>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.44 ,TB
2013699,"[6,7)",>=7,>=7,>=7,"[6,7)",>=7, 7.20 ,TB
2013700,>=7,"[6,7)","[1,6)","[6,7)",>=7,>=7, 6.71 ,TB
2013701,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.80 ,TB
2013702,"[6,7)","[1,6)","[1,6)","[1,6)","[1,6)",>=7, 5.49 ,TB
2013703,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.09 ,TB
2013704,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.90 ,TB
2013705,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)","[6,7)", 5.60 ,TB
2013706,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.15 ,TB
2013707,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.87 ,TB
2013708,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.98 ,TB
2013709,"[6,7)",>=7,"[6,7)","[1,6)","[6,7)","[6,7)", 6.31 ,TB
2013710,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.97 ,TB
2013711,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.03 ,TB
2013712,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.57 ,TB
2013713,"[6,7)",>=7,>=7,"[6,7)","[6,7)",>=7, 7.20 ,TB
2013714,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.71 ,TB
2013715,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.67 ,TB
2013716,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.33 ,TB
2013717,>=7,"[6,7)","[6,7)","[1,6)",>=7,>=7, 6.75 ,TB
2013718,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.68 ,K
2013719,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.95 ,TB
2013720,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.48 ,K
2013721,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.16 ,K
2013722,>=7,"[6,7)","[1,6)","[6,7)","[6,7)",>=7, 7.07 ,TB
2013723,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.01 ,TB
2013724,>=7,"[6,7)",>=7,"[1,6)",>=7,>=7, 7.18 ,TB
2013725,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.58 ,K
2013726,>=7,"[6,7)","[1,6)","[1,6)",>=7,>=7, 6.75 ,TB
2013727,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.53 ,TB
2013728,>=7,"[6,7)",>=7,"[6,7)","[1,6)",>=7, 6.58 ,TB
2013729,>=7,"[6,7)",>=7,>=7,>=7,>=7, 7.69 ,K
2013730,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.98 ,K
2013731,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.55 ,K
2013732,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.05 ,TB
2013733,>=7,"[6,7)","[1,6)","[6,7)","[6,7)",>=7, 6.57 ,TB
2013734,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.58 ,TB
2013735,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.42 ,TB
2013736,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.41 ,TB
2013737,"[6,7)","[6,7)","[6,7)","[6,7)","[6,7)",>=7, 6.84 ,K
2013738,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.08 ,TB
2013739,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.22 ,K
2013740,"[6,7)",>=7,>=7,"[6,7)",>=7,>=7, 7.43 ,K
2013741,>=7,>=7,>=7,>=7,>=7,>=7, 7.67 ,K
2013742,>=7,"[6,7)","[6,7)","[6,7)",>=7,>=7, 7.10 ,K
2013743,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.08 ,TB
2013744,"[6,7)",>=7,>=7,"[6,7)",>=7,>=7, 7.39 ,K
2013745,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.88 ,TB
2013746,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.21 ,TB
2013747,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.16 ,TB
2013748,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.47 ,K
2013749,>=7,"[6,7)",>=7,"[1,6)",>=7,>=7, 7.17 ,TB
2013750,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.55 ,K
2013751,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.22 ,TB
2013752,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.93 ,TB
2013753,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.07 ,TB
2013754,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.62 ,K
2013755,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.63 ,K
2013756,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.18 ,TB
2013757,>=7,"[6,7)","[6,7)","[6,7)",>=7,>=7, 7.41 ,K
2013758,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.24 ,TB
2013759,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.69 ,TB
2013760,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.67 ,TB
2013761,"[6,7)",>=7,>=7,"[1,6)",>=7,>=7, 7.08 ,TB
2013762,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.90 ,TB
2013763,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.31 ,TB
2013764,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 6.65 ,TB
2013765,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.48 ,K
2013766,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.95 ,K
2013767,>=7,>=7,>=7,>=7,>=7,>=7, 8.18 ,G
2013768,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.32 ,TB
2013769,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.60 ,K
2013770,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.72 ,TB
2013771,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.69 ,TB
2013772,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.20 ,TB
2013773,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.16 ,TB
2013774,"[6,7)",>=7,>=7,"[6,7)",>=7,>=7, 7.05 ,K
2013775,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.58 ,K
2013776,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.97 ,TB
2013777,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.47 ,TB
2013778,"[6,7)",>=7,>=7,>=7,>=7,>=7, 7.37 ,TB
2013779,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)","[6,7)", 6.19 ,TB
2013780,"[6,7)","[6,7)","[6,7)","[1,6)","[6,7)",>=7, 6.59 ,TB
2013781,"[1,6)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.86 ,TB
2013782,"[1,6)",>=7,"[6,7)",>=7,>=7,>=7, 7.16 ,TB
2013783,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.40 ,TB
2013784,>=7,>=7,"[6,7)",>=7,>=7,>=7, 8.38 ,K
2013785,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.71 ,TB
2013786,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.59 ,TB
2013787,>=7,>=7,>=7,>=7,>=7,>=7, 8.03 ,G
2013788,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.38 ,TB
2013789,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.94 ,TB
2013790,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.57 ,TB
2013791,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.66 ,TB
2013792,"[6,7)","[6,7)","[1,6)","[6,7)",>=7,>=7, 6.64 ,TB
2013793,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.46 ,TB
2013794,>=7,>=7,>=7,"[1,6)","[1,6)",>=7, 6.63 ,TB
2013795,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 6.91 ,TB
2013796,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 7.13 ,TB
2013797,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.89 ,K
2013798,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.45 ,TB
2013799,>=7,>=7,>=7,>=7,>=7,>=7, 8.43 ,G
2013800,"[6,7)","[6,7)","[1,6)","[6,7)",>=7,>=7, 6.85 ,TB
2013801,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.25 ,TB
2013802,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.49 ,TB
2013803,>=7,>=7,>=7,"[6,7)","[6,7)","[6,7)", 7.03 ,K
2013804,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.27 ,TB
2013805,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.24 ,TB
2013806,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.53 ,TB
2013807,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.09 ,TB
2013808,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.88 ,TB
2013809,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.75 ,TB
2013810,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.86 ,TB
2013811,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.93 ,TB
2013812,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 7.33 ,TB
2013813,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.44 ,TB
2013814,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.24 ,TB
2013815,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.61 ,TB
2013816,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.42 ,TB
2013817,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.88 ,TB
2013818,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.04 ,TB
2013819,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.89 ,K
2013820,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.55 ,TB
2013821,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.19 ,TB
2013822,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.40 ,TB
2013823,>=7,>=7,>=7,>=7,"[6,7)",>=7, 8.07 ,K
2013824,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.84 ,TB
2013825,>=7,>=7,>=7,>=7,>=7,>=7, 8.07 ,G
2013826,>=7,>=7,>=7,>=7,>=7,>=7, 8.43 ,G
2013827,"[6,7)","[6,7)",>=7,>=7,>=7,>=7, 7.50 ,K
2013828,"[1,6)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.38 ,TB
2013829,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.65 ,TB
2013830,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.67 ,TB
2013831,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.48 ,TB
2013832,"[6,7)","[6,7)","[6,7)","[1,6)",>=7,>=7, 6.85 ,TB
2013833,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.18 ,TB
2013834,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.63 ,TB
2013835,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.58 ,TB
2013836,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.31 ,TB
2013837,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.31 ,TB
2013838,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.19 ,TB
2013839,"[6,7)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.90 ,TB
2013840,>=7,"[6,7)","[1,6)","[1,6)",>=7,>=7, 6.65 ,TB
2013841,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.37 ,K
2013842,"[6,7)","[6,7)","[1,6)",>=7,"[1,6)",>=7, 6.08 ,TB
2013843,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.11 ,TB
2013844,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 6.66 ,TB
2013845,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 7.02 ,TB
2013846,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.06 ,TB
2013847,>=7,"[6,7)","[6,7)","[1,6)",>=7,>=7, 6.98 ,TB
2013848,"[6,7)","[6,7)","[6,7)","[1,6)",>=7,>=7, 6.55 ,TB
2013849,>=7,>=7,>=7,>=7,>=7,>=7, 8.31 ,G
2013850,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 7.05 ,TB
2013851,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.32 ,TB
2013852,>=7,"[6,7)","[6,7)","[1,6)","[6,7)",>=7, 6.48 ,TB
2013853,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.42 ,K
2013854,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.56 ,TB
2013855,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.33 ,TB
2013856,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.41 ,K
2013857,>=7,"[6,7)","[1,6)","[6,7)","[6,7)",>=7, 6.78 ,TB
2013858,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.66 ,TB
2013859,"[6,7)","[6,7)",>=7,"[6,7)",>=7,>=7, 7.07 ,TB
2013860,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.47 ,K
2013861,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.59 ,TB
2013862,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.26 ,TB
2013863,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.75 ,TB
2013864,"[1,6)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.00 ,TB
2013865,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.79 ,TB
2013866,"[6,7)","[6,7)","[1,6)",>=7,"[6,7)",>=7, 6.42 ,TB
2013867,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.23 ,TB
2013868,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.24 ,TB
2013869,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.99 ,TB
2013870,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.61 ,TB
2013871,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.58 ,K
2013872,>=7,"[6,7)","[1,6)","[1,6)",>=7,>=7, 6.28 ,TB
2013873,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 6.88 ,TB
2013874,>=7,"[6,7)","[1,6)",>=7,"[6,7)",>=7, 6.74 ,TB
2013875,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 7.00 ,TB
2013876,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.08 ,TB
2013877,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.90 ,K
2013878,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.12 ,TB
2013879,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.13 ,TB
2013880,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.73 ,TB
2013881,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.28 ,TB
2013882,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.41 ,TB
2013883,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.50 ,TB
2013884,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.53 ,TB
2013885,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.71 ,TB
2013886,"[6,7)","[6,7)","[1,6)","[6,7)",>=7,>=7, 6.70 ,TB
2013887,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.60 ,K
2013888,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.68 ,TB
2013889,"[1,6)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.45 ,TB
2013890,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.63 ,TB
2013891,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 6.08 ,TB
2013892,"[1,6)",>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.39 ,TB
2013893,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.12 ,TB
2013894,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.38 ,K
2013895,>=7,"[6,7)","[1,6)","[1,6)","[6,7)","[6,7)", 6.11 ,TB
2013896,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 7.35 ,TB
2013897,"[6,7)",>=7,>=7,>=7,>=7,>=7, 7.94 ,K
2013898,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.98 ,TB
2013899,"[1,6)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.01 ,TB
2013900,"[1,6)",>=7,>=7,"[1,6)",>=7,>=7, 7.11 ,TB
2013901,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.00 ,TB
2013902,>=7,>=7,>=7,>=7,>=7,>=7, 7.72 ,K
2013903,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.65 ,TB
2013904,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.73 ,K
2013905,>=7,>=7,"[1,6)",>=7,"[6,7)",>=7, 7.18 ,TB
2013906,"[6,7)",>=7,>=7,>=7,>=7,>=7, 7.54 ,K
2013907,"[6,7)","[1,6)","[1,6)",>=7,>=7,>=7, 6.28 ,TB
2013908,>=7,>=7,"[1,6)",>=7,"[6,7)",>=7, 7.16 ,TB
2013909,>=7,"[6,7)",>=7,>=7,>=7,>=7, 7.96 ,K
2013910,>=7,>=7,>=7,>=7,>=7,>=7, 7.61 ,K
2013911,>=7,"[6,7)","[6,7)","[6,7)","[1,6)",>=7, 6.67 ,TB
2013912,"[6,7)","[6,7)","[1,6)","[6,7)","[6,7)",>=7, 6.58 ,TB
2013913,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.00 ,TB
2013914,"[6,7)",>=7,"[6,7)",>=7,>=7,>=7, 7.22 ,K
2013915,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.47 ,TB
2013916,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 7.07 ,TB
2013917,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.76 ,TB
2013918,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.87 ,TB
2013919,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.34 ,K
2013920,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)","[1,6)", 5.01 ,TB
2013921,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.21 ,TB
2013922,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.37 ,K
2013923,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 6.99 ,TB
2013924,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.42 ,TB
2013925,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.23 ,TB
2013926,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.28 ,TB
2013927,>=7,>=7,>=7,>=7,>=7,>=7, 7.49 ,K
2013928,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 7.09 ,TB
2013929,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.60 ,TB
2013930,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.74 ,K
2013931,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.87 ,TB
2013932,>=7,>=7,"[6,7)","[1,6)","[6,7)","[6,7)", 6.49 ,TB
2013933,>=7,>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.15 ,TB
2013934,>=7,>=7,"[6,7)",>=7,>=7,>=7, 8.44 ,K
2013935,"[6,7)",>=7,"[1,6)",>=7,>=7,>=7, 7.22 ,TB
2013936,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.98 ,TB
2013937,>=7,"[1,6)","[1,6)",>=7,>=7,>=7, 6.53 ,TB
2013938,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 7.18 ,TB
2013939,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.18 ,TB
2013940,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.08 ,TB
2013941,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.17 ,TB
2013942,>=7,"[1,6)","[1,6)","[6,7)",>=7,>=7, 6.10 ,TB
2013943,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.39 ,TB
2013944,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.22 ,TB
2013945,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.85 ,TB
2013946,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.11 ,TB
2013947,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.66 ,TB
2013948,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 5.94 ,TB
2013949,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.78 ,TB
2013950,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.39 ,K
2013951,"[6,7)","[6,7)","[6,7)",>=7,>=7,>=7, 6.85 ,K
2013952,>=7,>=7,>=7,>=7,>=7,>=7, 7.54 ,K
2013953,"[6,7)",>=7,"[1,6)","[6,7)",>=7,>=7, 7.18 ,TB
2013954,>=7,>=7,"[1,6)",>=7,"[6,7)",>=7, 7.20 ,TB
2013955,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.42 ,TB
2013956,>=7,>=7,>=7,>=7,>=7,>=7, 8.53 ,G
2013957,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.20 ,TB
2013958,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.85 ,TB
2013959,>=7,>=7,"[1,6)","[6,7)",>=7,>=7, 7.05 ,TB
2013960,>=7,>=7,"[1,6)",>=7,>=7,>=7, 7.56 ,TB
2013961,>=7,>=7,"[6,7)",>=7,"[6,7)",>=7, 7.58 ,K
2013962,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.00 ,TB
2013963,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.25 ,TB
2013964,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.77 ,TB
2013965,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.48 ,TB
2013966,>=7,>=7,>=7,>=7,>=7,>=7, 8.18 ,G
2013967,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.09 ,K
2013968,>=7,"[6,7)","[6,7)","[1,6)",>=7,>=7, 6.78 ,TB
2013969,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.83 ,TB
2013970,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.88 ,TB
2013971,"[6,7)",>=7,"[6,7)","[6,7)",>=7,>=7, 7.30 ,K
2013972,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.62 ,TB
2013973,>=7,>=7,"[1,6)","[1,6)","[6,7)","[6,7)", 6.09 ,TB
2013974,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.80 ,TB
2013975,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.97 ,TB
2013976,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.34 ,TB
2013977,>=7,>=7,>=7,"[6,7)","[6,7)",>=7, 7.23 ,K
2013978,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.49 ,TB
2013979,>=7,"[6,7)","[6,7)","[1,6)","[6,7)",>=7, 6.63 ,TB
2013980,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 5.98 ,TB
2013981,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.72 ,TB
2013982,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 6.47 ,TB
2013983,>=7,>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.29 ,TB
2013984,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.65 ,TB
2013985,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.04 ,K
2013986,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.98 ,TB
2013987,"[6,7)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.14 ,TB
2013988,"[6,7)",>=7,>=7,"[6,7)","[6,7)",>=7, 7.12 ,K
2013989,"[6,7)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.83 ,TB
2013990,>=7,"[6,7)","[1,6)","[1,6)",>=7,>=7, 6.46 ,TB
2013991,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.93 ,TB
2013992,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.68 ,TB
2013993,>=7,>=7,>=7,>=7,"[6,7)",>=7, 8.12 ,K
