Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000073,>=7,"[6,7)",>=7,"[1,6)",>=7,>=7, 7.27 ,TB
2000074,"[6,7)",>=7,>=7,>=7,>=7,>=7, 8.08 ,TB
2000075,"[6,7)","[1,6)","[1,6)","[1,6)","[1,6)",>=7, 5.24 ,TB
2000076,"[6,7)",>=7,>=7,>=7,>=7,>=7, 8.05 ,K
2000077,"[1,6)","[6,7)",>=7,"[1,6)",>=7,>=7, 6.65 ,TB
2000078,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,>=7, 5.71 ,TB
2000079,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.28 ,TB
2000080,"[6,7)","[6,7)","[6,7)","[6,7)",>=7,>=7, 6.90 ,TB
2000081,>=7,>=7,>=7,>=7,>=7,>=7, 7.75 ,K
2000082,"[6,7)",>=7,>=7,"[6,7)","[1,6)",>=7, 6.88 ,TB
2000083,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.53 ,K
2000084,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.66 ,TB
2000085,>=7,>=7,>=7,>=7,>=7,>=7, 7.93 ,K
2000086,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.22 ,TB
2000087,>=7,>=7,>=7,>=7,>=7,>=7, 7.81 ,K
2000088,>=7,>=7,>=7,"[1,6)","[6,7)","[6,7)", 6.58 ,TB
2000089,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.15 ,TB
2000090,>=7,>=7,>=7,"[6,7)",>=7,>=7, 8.20 ,K
2000091,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 7.14 ,TB
2000092,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.28 ,TB
2000093,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.59 ,TB
2000094,>=7,"[6,7)",>=7,"[1,6)","[6,7)",>=7, 6.98 ,TB
2000095,"[1,6)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.13 ,TB
2000096,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.88 ,TB
2000097,"[6,7)","[6,7)","[6,7)",>=7,>=7,>=7, 7.24 ,K
2000098,"[1,6)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.18 ,TB
2000099,"[1,6)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.16 ,TB
2000100,"[6,7)","[6,7)","[6,7)",>=7,>=7,>=7, 7.33 ,K
2000101,"[1,6)","[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.71 ,TB
2000102,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,"[6,7)", 5.31 ,TB
2000103,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 6.83 ,TB
2000104,"[6,7)","[6,7)","[6,7)","[1,6)","[6,7)",>=7, 6.26 ,TB
2000105,"[1,6)",>=7,"[1,6)","[6,7)",>=7,>=7, 6.98 ,TB
2000106,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.92 ,TB
2000107,>=7,>=7,>=7,>=7,>=7,>=7, 8.20 ,G
2000108,>=7,>=7,"[6,7)",>=7,"[6,7)",>=7, 7.42 ,K
2000109,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.37 ,TB
2000110,>=7,"[1,6)","[1,6)",>=7,>=7,>=7, 7.30 ,TB
2000111,"[6,7)","[6,7)","[1,6)","[6,7)",>=7,>=7, 6.72 ,TB
2000112,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.25 ,TB
2000113,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,"[6,7)", 5.36 ,TB
2000114,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.50 ,TB
2000115,"[1,6)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 4.88 ,0
2000116,"[1,6)","[1,6)","[6,7)","[1,6)","[1,6)",>=7, 5.72 ,TB
2000117,"[6,7)","[6,7)",>=7,"[6,7)","[1,6)",>=7, 6.68 ,TB
2000118,"[1,6)",>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.25 ,TB
2000119,"[1,6)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.16 ,TB
2000120,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 4.71 ,0
2000121,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.08 ,K
2000122,"[6,7)","[6,7)",>=7,"[1,6)","[6,7)",>=7, 6.63 ,TB
2000123,>=7,>=7,>=7,>=7,>=7,>=7, 8.29 ,G
2000124,>=7,"[6,7)","[6,7)","[6,7)",>=7,>=7, 7.14 ,K
